name,type,value,date
《Reloaded 重启》,专辑,10,2016.04.04
《目标（豪华版）》,专辑,9,2016.04.04
《狂野之美》,专辑,8,2016.04.04
《有理想》,专辑,7,2016.04.04
《新的心跳》,专辑,6,2016.04.04
《Made In The A.M. 青春创世纪》内地引进版 豪华版,专辑,5,2016.04.04
专辑,专辑,4,2016.04.04
专辑,专辑,3,2016.04.04
专辑,专辑,2,2016.04.04
专辑,专辑,1,2016.04.04
《Reloaded 重启》,专辑,10,2016.04.11
《新的心跳》,专辑,9,2016.04.11
《有理想》,专辑,8,2016.04.11
《目标（豪华版）》,专辑,7,2016.04.11
专辑,专辑,6,2016.04.11
《Purpose 目标 （普通版）》,专辑,5,2016.04.11
专辑,专辑,4,2016.04.11
专辑,专辑,3,2016.04.11
专辑,专辑,2,2016.04.11
专辑,专辑,1,2016.04.11
《Reloaded 重启》,专辑,10,2016.04.18
《新的心跳》,专辑,9,2016.04.18
《Blue Neighbourhood 蓝色街区（豪华版）》,专辑,8,2016.04.18
《Purpose 目标 （普通版）》,专辑,7,2016.04.18
专辑,专辑,6,2016.04.18
专辑,专辑,5,2016.04.18
《克罗地亚狂想曲2016》,专辑,4,2016.04.18
专辑,专辑,3,2016.04.18
专辑,专辑,2,2016.04.18
专辑,专辑,1,2016.04.18
《Reloaded 重启》,专辑,10,2016.04.25
《Blue Neighbourhood 蓝色街区（豪华版）》,专辑,9,2016.04.25
《目标（豪华版）》,专辑,8,2016.04.25
《新的心跳》,专辑,7,2016.04.25
《25》,专辑,6,2016.04.25
专辑,专辑,5,2016.04.25
专辑,专辑,4,2016.04.25
专辑,专辑,3,2016.04.25
专辑,专辑,2,2016.04.25
专辑,专辑,1,2016.04.25
《Reloaded 重启》,专辑,10,2016.05.02
专辑,专辑,9,2016.05.02
《新的心跳》,专辑,8,2016.05.02
专辑,专辑,7,2016.05.02
《Purpose 目标 （普通版）》,专辑,6,2016.05.02
《Blue Neighbourhood 蓝色街区（豪华版）》,专辑,5,2016.05.02
专辑,专辑,4,2016.05.02
专辑,专辑,3,2016.05.02
专辑,专辑,2,2016.05.02
《克罗地亚狂想曲2016》,专辑,1,2016.05.02
《Adore》,专辑,10,2016.05.09
专辑,专辑,9,2016.05.09
《Reloaded 重启》,专辑,8,2016.05.09
周杰伦《魔天伦世界巡回演唱会 DVD+2CD》,专辑,7,2016.05.09
专辑,专辑,6,2016.05.09
专辑,专辑,5,2016.05.09
专辑,专辑,4,2016.05.09
《目标（豪华版）》,专辑,3,2016.05.09
《新的心跳》,专辑,2,2016.05.09
《超乎想象》,专辑,1,2016.05.09
《Adore》,专辑,10,2016.05.16
专辑,专辑,9,2016.05.16
《Reloaded 重启》,专辑,8,2016.05.16
周杰伦《魔天伦世界巡回演唱会 DVD+2CD》,专辑,7,2016.05.16
专辑,专辑,6,2016.05.16
《我要你好好的》,专辑,5,2016.05.16
专辑,专辑,4,2016.05.16
专辑,专辑,3,2016.05.16
《超乎想象》,专辑,2,2016.05.16
专辑,专辑,1,2016.05.16
《Adore》,专辑,10,2016.05.23
《Reloaded 重启》,专辑,9,2016.05.23
专辑,专辑,8,2016.05.23
专辑,专辑,7,2016.05.23
《Blue Neighbourhood 蓝色街区（豪华版）》,专辑,6,2016.05.23
《新的心跳》,专辑,5,2016.05.23
《Made In The A.M. 青春创世纪》内地引进版 豪华版,专辑,4,2016.05.23
专辑,专辑,3,2016.05.23
《超乎想象》,专辑,2,2016.05.23
专辑,专辑,1,2016.05.23
《Adore》,专辑,10,2016.05.30
《Reloaded 重启》,专辑,9,2016.05.30
专辑,专辑,8,2016.05.30
《目标（豪华版）》,专辑,7,2016.05.30
《新的心跳》,专辑,6,2016.05.30
《Revival 复苏》,专辑,5,2016.05.30
专辑,专辑,4,2016.05.30
专辑,专辑,3,2016.05.30
专辑,专辑,2,2016.05.30
《超乎想象》,专辑,1,2016.05.30
《Adore》,专辑,10,2016.06.06
《Reloaded 重启》,专辑,9,2016.06.06
专辑,专辑,8,2016.06.06
专辑,专辑,7,2016.06.06
《有理想》,专辑,6,2016.06.06
《目标（豪华版）》,专辑,5,2016.06.06
《25》,专辑,4,2016.06.06
专辑,专辑,3,2016.06.06
专辑,专辑,2,2016.06.06
《相遇的后续》,专辑,1,2016.06.06
《Adore》,专辑,10,2016.06.13
《Reloaded 重启》,专辑,9,2016.06.13
《Purpose 目标 （普通版）》,专辑,8,2016.06.13
《目标（豪华版）》,专辑,7,2016.06.13
专辑,专辑,6,2016.06.13
《新的心跳》,专辑,5,2016.06.13
专辑,专辑,4,2016.06.13
专辑,专辑,3,2016.06.13
《超乎想象》,专辑,2,2016.06.13
专辑,专辑,1,2016.06.13
《卅兮卅/$axi$a》,专辑,10,2016.06.20
《Adore》,专辑,9,2016.06.20
《Reloaded 重启》,专辑,8,2016.06.20
《新的心跳》,专辑,7,2016.06.20
专辑,专辑,6,2016.06.20
《Blue Neighbourhood 蓝色街区（豪华版）》,专辑,5,2016.06.20
专辑,专辑,4,2016.06.20
《超乎想象》,专辑,3,2016.06.20
专辑,专辑,2,2016.06.20
专辑,专辑,1,2016.06.20
《卅兮卅/$axi$a》,专辑,10,2016.06.27
《Adore》,专辑,9,2016.06.27
《Reloaded 重启》,专辑,8,2016.06.27
专辑,专辑,7,2016.06.27
《Blue Neighbourhood 蓝色街区（豪华版）》,专辑,6,2016.06.27
《新的心跳》,专辑,5,2016.06.27
《25》,专辑,4,2016.06.27
《超乎想象》,专辑,3,2016.06.27
专辑,专辑,2,2016.06.27
专辑,专辑,1,2016.06.27
《卅兮卅/$axi$a》,专辑,10,2016.07.04
《Adore》,专辑,9,2016.07.04
《Reloaded 重启》,专辑,8,2016.07.04
周杰伦《魔天伦世界巡回演唱会 DVD+2CD》,专辑,7,2016.07.04
专辑,专辑,6,2016.07.04
《新的心跳》,专辑,5,2016.07.04
《Blue Neighbourhood 蓝色街区（豪华版）》,专辑,4,2016.07.04
专辑,专辑,3,2016.07.04
《超乎想象》,专辑,2,2016.07.04
专辑,专辑,1,2016.07.04
《Adore》,专辑,10,2016.07.11
《Reloaded 重启》,专辑,9,2016.07.11
《卅兮卅/$axi$a》,专辑,8,2016.07.11
《目标（豪华版）》,专辑,7,2016.07.11
《Blue Neighbourhood 蓝色街区（豪华版）》,专辑,6,2016.07.11
《相遇的后续》,专辑,5,2016.07.11
专辑,专辑,4,2016.07.11
《超乎想象》,专辑,3,2016.07.11
专辑,专辑,2,2016.07.11
专辑,专辑,1,2016.07.11
《Adore》,专辑,10,2016.07.18
《Reloaded 重启》,专辑,9,2016.07.18
《卅兮卅/$axi$a》,专辑,8,2016.07.18
专辑,专辑,7,2016.07.18
《Blue Neighbourhood 蓝色街区（豪华版）》,专辑,6,2016.07.18
专辑,专辑,5,2016.07.18
《超乎想象》,专辑,4,2016.07.18
专辑,专辑,3,2016.07.18
专辑,专辑,2,2016.07.18
专辑,专辑,1,2016.07.18
《Adore》,专辑,10,2016.07.25
《Reloaded 重启》,专辑,9,2016.07.25
《卅兮卅/$axi$a》,专辑,8,2016.07.25
专辑,专辑,7,2016.07.25
《Blue Neighbourhood 蓝色街区（豪华版）》,专辑,6,2016.07.25
《Purpose 目标 （普通版）》,专辑,5,2016.07.25
专辑,专辑,4,2016.07.25
专辑,专辑,3,2016.07.25
专辑,专辑,2,2016.07.25
专辑,专辑,1,2016.07.25
《Reloaded 重启》,专辑,10,2016.08.01
《Purpose 目标 （普通版）》,专辑,9,2016.08.01
《Revival 复苏》,专辑,8,2016.08.01
《Made In The A.M. 青春创世纪》内地引进版 豪华版,专辑,7,2016.08.01
专辑,专辑,6,2016.08.01
《目标（豪华版）》,专辑,5,2016.08.01
《25》,专辑,4,2016.08.01
专辑,专辑,3,2016.08.01
《新的心跳》,专辑,2,2016.08.01
专辑,专辑,1,2016.08.01
《初学者》,专辑,10,2016.08.08
《卅兮卅/$axi$a》,专辑,9,2016.08.08
《Adore》,专辑,8,2016.08.08
《Reloaded 重启》,专辑,7,2016.08.08
专辑,专辑,6,2016.08.08
《目标（豪华版）》,专辑,5,2016.08.08
《Purpose 目标 （普通版）》,专辑,4,2016.08.08
《Blue Neighbourhood 蓝色街区（豪华版）》,专辑,3,2016.08.08
专辑,专辑,2,2016.08.08
专辑,专辑,1,2016.08.08
《初学者》,专辑,10,2016.08.15
《卅兮卅/$axi$a》,专辑,9,2016.08.15
《15》珍藏版,专辑,8,2016.08.15
《Adore》,专辑,7,2016.08.15
《Reloaded 重启》,专辑,6,2016.08.15
《请在哔声后留言》,专辑,5,2016.08.15
《新的心跳》,专辑,4,2016.08.15
《超乎想象》,专辑,3,2016.08.15
专辑,专辑,2,2016.08.15
《相遇的后续》,专辑,1,2016.08.15
《The Road》,专辑,10,2016.08.22
《初学者》,专辑,9,2016.08.22
《Adore》,专辑,8,2016.08.22
《卅兮卅/$axi$a》,专辑,7,2016.08.22
《Reloaded 重启》,专辑,6,2016.08.22
《15》珍藏版,专辑,5,2016.08.22
《请在哔声后留言》,专辑,4,2016.08.22
《15》,专辑,3,2016.08.22
《新的心跳》,专辑,2,2016.08.22
《目标（豪华版）》,专辑,1,2016.08.22
《初学者》,专辑,10,2016.08.29
《卅兮卅/$axi$a》,专辑,9,2016.08.29
《Reloaded 重启》,专辑,8,2016.08.29
《Adore》,专辑,7,2016.08.29
《15》珍藏版,专辑,6,2016.08.29
《请在哔声后留言》,专辑,5,2016.08.29
《Blue Neighbourhood 蓝色街区（豪华版）》,专辑,4,2016.08.29
专辑,专辑,3,2016.08.29
《超乎想象》,专辑,2,2016.08.29
专辑,专辑,1,2016.08.29
《旋风》,专辑,10,2016.09.05
《卅兮卅/$axi$a》,专辑,9,2016.09.05
《初学者》,专辑,8,2016.09.05
《Reloaded 重启》,专辑,7,2016.09.05
《Adore》,专辑,6,2016.09.05
《15》珍藏版,专辑,5,2016.09.05
《请在哔声后留言》,专辑,4,2016.09.05
《超乎想象》,专辑,3,2016.09.05
专辑,专辑,2,2016.09.05
《相遇的后续》,专辑,1,2016.09.05
《旋风》,专辑,10,2016.09.12
《卅兮卅/$axi$a》,专辑,9,2016.09.12
《初学者》,专辑,8,2016.09.12
《Reloaded 重启》,专辑,7,2016.09.12
《Adore》,专辑,6,2016.09.12
专辑,专辑,5,2016.09.12
《15》珍藏版,专辑,4,2016.09.12
《请在哔声后留言》,专辑,3,2016.09.12
《新的心跳》,专辑,2,2016.09.12
《我要你好好的》,专辑,1,2016.09.12
《旋风》,专辑,10,2016.09.19
《初学者》,专辑,9,2016.09.19
《Reloaded 重启》,专辑,8,2016.09.19
专辑,专辑,7,2016.09.19
专辑,专辑,6,2016.09.19
《Adore》,专辑,5,2016.09.19
《25》,专辑,4,2016.09.19
《相遇的后续》,专辑,3,2016.09.19
《超乎想象》,专辑,2,2016.09.19
专辑,专辑,1,2016.09.19
《旋风》,专辑,10,2016.09.26
专辑,专辑,9,2016.09.26
《Reloaded 重启》,专辑,8,2016.09.26
《Adore》,专辑,7,2016.09.26
《初学者》,专辑,6,2016.09.26
《请在哔声后留言》,专辑,5,2016.09.26
《卅兮卅/$axi$a》,专辑,4,2016.09.26
专辑,专辑,3,2016.09.26
专辑,专辑,2,2016.09.26
《超乎想象》,专辑,1,2016.09.26
专辑,专辑,10,2016.10.03
《卅兮卅/$axi$a》,专辑,9,2016.10.03
《旋风》,专辑,8,2016.10.03
《Reloaded 重启》,专辑,7,2016.10.03
《初学者》,专辑,6,2016.10.03
《Adore》,专辑,5,2016.10.03
专辑,专辑,4,2016.10.03
《Blue Neighbourhood 蓝色街区（豪华版）》,专辑,3,2016.10.03
《有理想》,专辑,2,2016.10.03
韩剧《制作人》电视原声带,专辑,1,2016.10.03
《旋风》,专辑,10,2016.10.10
《Reloaded 重启》,专辑,9,2016.10.10
《初学者》,专辑,8,2016.10.10
专辑,专辑,7,2016.10.10
《Adore》,专辑,6,2016.10.10
专辑,专辑,5,2016.10.10
《目标（豪华版）》,专辑,4,2016.10.10
《卅兮卅/$axi$a》,专辑,3,2016.10.10
《15》珍藏版,专辑,2,2016.10.10
《相遇的后续》,专辑,1,2016.10.10
《旋风》,专辑,10,2016.10.17
专辑,专辑,9,2016.10.17
《Reloaded 重启》,专辑,8,2016.10.17
《Adore》,专辑,7,2016.10.17
《初学者》,专辑,6,2016.10.17
《卅兮卅/$axi$a》,专辑,5,2016.10.17
《Made In The A.M. 青春创世纪》内地引进版 豪华版,专辑,4,2016.10.17
《有理想》,专辑,3,2016.10.17
专辑,专辑,2,2016.10.17
《目标（豪华版）》,专辑,1,2016.10.17
《初学者》,专辑,10,2016.10.24
《旋风》,专辑,9,2016.10.24
《Reloaded 重启》,专辑,8,2016.10.24
《Adore》,专辑,7,2016.10.24
专辑,专辑,6,2016.10.24
专辑,专辑,5,2016.10.24
《The Road》,专辑,4,2016.10.24
《15》珍藏版,专辑,3,2016.10.24
《有理想》,专辑,2,2016.10.24
《新的心跳》,专辑,1,2016.10.24
《Reloaded 重启》,专辑,10,2016.10.31
《旋风》,专辑,9,2016.10.31
《初学者》,专辑,8,2016.10.31
韩剧《制作人》电视原声带,专辑,7,2016.10.31
《Adore》,专辑,6,2016.10.31
专辑,专辑,5,2016.10.31
专辑,专辑,4,2016.10.31
专辑,专辑,3,2016.10.31
《目标（豪华版）》,专辑,2,2016.10.31
《15》珍藏版,专辑,1,2016.10.31
《Reloaded 重启》,专辑,10,2016.11.07
《初学者》,专辑,9,2016.11.07
《Adore》,专辑,8,2016.11.07
《旋风》,专辑,7,2016.11.07
《Blue Neighbourhood 蓝色街区（豪华版）》,专辑,6,2016.11.07
《25》,专辑,5,2016.11.07
专辑,专辑,4,2016.11.07
《真人秀?》,专辑,3,2016.11.07
《15》珍藏版,专辑,2,2016.11.07
《相遇的后续》,专辑,1,2016.11.07
《Reloaded 重启》,专辑,10,2016.11.14
《旋风》,专辑,9,2016.11.14
《Adore》,专辑,8,2016.11.14
《Blue Neighbourhood 蓝色街区（豪华版）》,专辑,7,2016.11.14
《自传》内地引进版 首批限量版,专辑,6,2016.11.14
专辑,专辑,5,2016.11.14
《目标（豪华版）》,专辑,4,2016.11.14
《相遇的后续》,专辑,3,2016.11.14
专辑,专辑,2,2016.11.14
《超乎想象》,专辑,1,2016.11.14
《Reloaded 重启》,专辑,10,2016.11.21
《自传》内地引进版 首批限量版,专辑,9,2016.11.21
《旋风》,专辑,8,2016.11.21
《自传》内地引进版 普通版,专辑,7,2016.11.21
专辑,专辑,6,2016.11.21
《Revival 复苏》,专辑,5,2016.11.21
《Adore》,专辑,4,2016.11.21
《卅兮卅/$axi$a》,专辑,3,2016.11.21
专辑,专辑,2,2016.11.21
《有理想》,专辑,1,2016.11.21
《十二月》“心意”珍藏版,专辑,10,2016.11.28
《Reloaded 重启》,专辑,9,2016.11.28
《自传》内地引进版 首批限量版,专辑,8,2016.11.28
《Adore》,专辑,7,2016.11.28
《旋风》,专辑,6,2016.11.28
《自传》内地引进版 普通版,专辑,5,2016.11.28
专辑,专辑,4,2016.11.28
《15》珍藏版,专辑,3,2016.11.28
《请在哔声后留言》,专辑,2,2016.11.28
专辑,专辑,1,2016.11.28
《十二月》签名版 W版,专辑,10,2016.12.05
《十二月》签名版 Q版,专辑,9,2016.12.05
《Reloaded 重启》,专辑,8,2016.12.05
《旋风》,专辑,7,2016.12.05
《自传》内地引进版 首批限量版,专辑,6,2016.12.05
《Adore》,专辑,5,2016.12.05
专辑,专辑,4,2016.12.05
专辑,专辑,3,2016.12.05
《自传》内地引进版 普通版,专辑,2,2016.12.05
《Blue Neighbourhood 蓝色街区（豪华版）》,专辑,1,2016.12.05
《十二月》签名版 W版,专辑,10,2016.12.12
《十二月》签名版 Q版,专辑,9,2016.12.12
《Reloaded 重启》,专辑,8,2016.12.12
《旋风》,专辑,7,2016.12.12
专辑,专辑,6,2016.12.12
《自传》内地引进版 首批限量版,专辑,5,2016.12.12
《Adore》,专辑,4,2016.12.12
《日常》,专辑,3,2016.12.12
《Blue Neighbourhood 蓝色街区（豪华版）》,专辑,2,2016.12.12
《乔任梁》,专辑,1,2016.12.12
《十二月》签名版 W版,专辑,10,2016.12.19
《十二月》签名版 Q版,专辑,9,2016.12.19
《Reloaded 重启》,专辑,8,2016.12.19
专辑,专辑,7,2016.12.19
《乔任梁》,专辑,6,2016.12.19
《旋风》,专辑,5,2016.12.19
《Adore》,专辑,4,2016.12.19
《日常》,专辑,3,2016.12.19
《目标（豪华版）》,专辑,2,2016.12.19
《自传》内地引进版 首批限量版,专辑,1,2016.12.19
《十二月》签名版 W版,专辑,10,2016.12.26
《十二月》签名版 Q版,专辑,9,2016.12.26
《Reloaded 重启》,专辑,8,2016.12.26
《乔任梁》,专辑,7,2016.12.26
《自传》内地引进版 首批限量版,专辑,6,2016.12.26
专辑,专辑,5,2016.12.26
《Adore》,专辑,4,2016.12.26
专辑,专辑,3,2016.12.26
《日常》,专辑,2,2016.12.26
《Blue Neighbourhood 蓝色街区（豪华版）》,专辑,1,2016.12.26
《十二月》签名版 W版,专辑,10,2017.01.02
《Reloaded 重启》,专辑,9,2017.01.02
《十二月》签名版 Q版,专辑,8,2017.01.02
专辑,专辑,7,2017.01.02
《自传》内地引进版 首批限量版,专辑,6,2017.01.02
《日常》,专辑,5,2017.01.02
《旋风》,专辑,4,2017.01.02
《乔任梁》,专辑,3,2017.01.02
专辑,专辑,2,2017.01.02
《最爱与珍藏》,专辑,1,2017.01.02
《Reloaded 重启》,专辑,10,2017.01.09
《十二月》签名版 W版,专辑,9,2017.01.09
《十二月》签名版 Q版,专辑,8,2017.01.09
《日常》,专辑,7,2017.01.09
《旋风》,专辑,6,2017.01.09
《自传》内地引进版 首批限量版,专辑,5,2017.01.09
《Blue Neighbourhood 蓝色街区（豪华版）》,专辑,4,2017.01.09
专辑,专辑,3,2017.01.09
《有理想》,专辑,2,2017.01.09
《Adore》,专辑,1,2017.01.09
《十二月》签名版 Q版,专辑,10,2017.01.16
《十二月》签名版 W版,专辑,9,2017.01.16
《Reloaded 重启》,专辑,8,2017.01.16
《日常》,专辑,7,2017.01.16
《乔任梁》,专辑,6,2017.01.16
专辑,专辑,5,2017.01.16
《目标（豪华版）》,专辑,4,2017.01.16
专辑,专辑,3,2017.01.16
《Adore》,专辑,2,2017.01.16
专辑,专辑,1,2017.01.16
《十二月》签名版 W版,专辑,10,2017.01.23
《十二月》签名版 Q版,专辑,9,2017.01.23
《Reloaded 重启》,专辑,8,2017.01.23
《初学者》,专辑,7,2017.01.23
《Adore》,专辑,6,2017.01.23
专辑,专辑,5,2017.01.23
《乔任梁》,专辑,4,2017.01.23
《日常》,专辑,3,2017.01.23
《Made In The A.M. 青春创世纪》内地引进版 豪华版,专辑,2,2017.01.23
《旋风》,专辑,1,2017.01.23
《十二月》签名版 W版,专辑,10,2017.01.30
《十二月》签名版 Q版,专辑,9,2017.01.30
